n,e*log(n),n,e*log(n) <= n
1.0560,0.1481,1.0560,Si
1.0570,0.1507,1.0570,Si
1.0580,0.1533,1.0580,Si
1.0590,0.1558,1.0590,Si
1.0600,0.1584,1.0600,Si
1.0610,0.1610,1.0610,Si
1.0620,0.1635,1.0620,Si
1.0630,0.1661,1.0630,Si
1.0640,0.1686,1.0640,Si
1.0650,0.1712,1.0650,Si
1.0660,0.1737,1.0660,Si
1.0670,0.1763,1.0670,Si
1.0680,0.1788,1.0680,Si
1.0690,0.1814,1.0690,Si
1.0700,0.1839,1.0700,Si
1.0710,0.1865,1.0710,Si
1.0720,0.1890,1.0720,Si
1.0730,0.1915,1.0730,Si
1.0740,0.1941,1.0740,Si
1.0750,0.1966,1.0750,Si
1.0760,0.1991,1.0760,Si
1.0770,0.2016,1.0770,Si
1.0780,0.2042,1.0780,Si
1.0790,0.2067,1.0790,Si
1.0800,0.2092,1.0800,Si
1.0810,0.2117,1.0810,Si
1.0820,0.2142,1.0820,Si
1.0830,0.2167,1.0830,Si
1.0840,0.2193,1.0840,Si
1.0850,0.2218,1.0850,Si
1.0860,0.2243,1.0860,Si
1.0870,0.2268,1.0870,Si
1.0880,0.2293,1.0880,Si
1.0890,0.2318,1.0890,Si
1.0900,0.2343,1.0900,Si
1.0910,0.2367,1.0910,Si
1.0920,0.2392,1.0920,Si
1.0930,0.2417,1.0930,Si
1.0940,0.2442,1.0940,Si
1.0950,0.2467,1.0950,Si
1.0960,0.2492,1.0960,Si
1.0970,0.2517,1.0970,Si
1.0980,0.2541,1.0980,Si
1.0990,0.2566,1.0990,Si
1.1000,0.2591,1.1000,Si
1.1010,0.2615,1.1010,Si
1.1020,0.2640,1.1020,Si
1.1030,0.2665,1.1030,Si
1.1040,0.2689,1.1040,Si
1.1050,0.2714,1.1050,Si
1.1060,0.2739,1.1060,Si
1.1070,0.2763,1.1070,Si
1.1080,0.2788,1.1080,Si
1.1090,0.2812,1.1090,Si
1.1100,0.2837,1.1100,Si
1.1110,0.2861,1.1110,Si
1.1120,0.2886,1.1120,Si
1.1130,0.2910,1.1130,Si
1.1140,0.2935,1.1140,Si
1.1150,0.2959,1.1150,Si
1.1160,0.2983,1.1160,Si
1.1170,0.3008,1.1170,Si
1.1180,0.3032,1.1180,Si
1.1190,0.3056,1.1190,Si
1.1200,0.3081,1.1200,Si
1.1210,0.3105,1.1210,Si
1.1220,0.3129,1.1220,Si
1.1230,0.3153,1.1230,Si
1.1240,0.3178,1.1240,Si
1.1250,0.3202,1.1250,Si
1.1260,0.3226,1.1260,Si
1.1270,0.3250,1.1270,Si
1.1280,0.3274,1.1280,Si
1.1290,0.3298,1.1290,Si
1.1300,0.3322,1.1300,Si
1.1310,0.3346,1.1310,Si
1.1320,0.3370,1.1320,Si
1.1330,0.3394,1.1330,Si
1.1340,0.3418,1.1340,Si
1.1350,0.3442,1.1350,Si
1.1360,0.3466,1.1360,Si
1.1370,0.3490,1.1370,Si
1.1380,0.3514,1.1380,Si
1.1390,0.3538,1.1390,Si
1.1400,0.3562,1.1400,Si
1.1410,0.3586,1.1410,Si
1.1420,0.3609,1.1420,Si
1.1430,0.3633,1.1430,Si
1.1440,0.3657,1.1440,Si
1.1450,0.3681,1.1450,Si
1.1460,0.3704,1.1460,Si
1.1470,0.3728,1.1470,Si
1.1480,0.3752,1.1480,Si
1.1490,0.3775,1.1490,Si
1.1500,0.3799,1.1500,Si
1.1510,0.3823,1.1510,Si
1.1520,0.3846,1.1520,Si
1.1530,0.3870,1.1530,Si
1.1540,0.3894,1.1540,Si
1.1550,0.3917,1.1550,Si
1.1560,0.3941,1.1560,Si
1.1570,0.3964,1.1570,Si
1.1580,0.3988,1.1580,Si
1.1590,0.4011,1.1590,Si
1.1600,0.4034,1.1600,Si
1.1610,0.4058,1.1610,Si
1.1620,0.4081,1.1620,Si
1.1630,0.4105,1.1630,Si
1.1640,0.4128,1.1640,Si
1.1650,0.4151,1.1650,Si
1.1660,0.4175,1.1660,Si
1.1670,0.4198,1.1670,Si
1.1680,0.4221,1.1680,Si
1.1690,0.4245,1.1690,Si
1.1700,0.4268,1.1700,Si
1.1710,0.4291,1.1710,Si
1.1720,0.4314,1.1720,Si
1.1730,0.4337,1.1730,Si
1.1740,0.4361,1.1740,Si
1.1750,0.4384,1.1750,Si
1.1760,0.4407,1.1760,Si
1.1770,0.4430,1.1770,Si
1.1780,0.4453,1.1780,Si
1.1790,0.4476,1.1790,Si
1.1800,0.4499,1.1800,Si
1.1810,0.4522,1.1810,Si
1.1820,0.4545,1.1820,Si
1.1830,0.4568,1.1830,Si
1.1840,0.4591,1.1840,Si
1.1850,0.4614,1.1850,Si
1.1860,0.4637,1.1860,Si
1.1870,0.4660,1.1870,Si
1.1880,0.4683,1.1880,Si
1.1890,0.4706,1.1890,Si
1.1900,0.4729,1.1900,Si
1.1910,0.4751,1.1910,Si
1.1920,0.4774,1.1920,Si
1.1930,0.4797,1.1930,Si
1.1940,0.4820,1.1940,Si
1.1950,0.4843,1.1950,Si
1.1960,0.4865,1.1960,Si
1.1970,0.4888,1.1970,Si
1.1980,0.4911,1.1980,Si
1.1990,0.4933,1.1990,Si
1.2000,0.4956,1.2000,Si
1.2010,0.4979,1.2010,Si
1.2020,0.5001,1.2020,Si
1.2030,0.5024,1.2030,Si
1.2040,0.5046,1.2040,Si
1.2050,0.5069,1.2050,Si
1.2060,0.5092,1.2060,Si
1.2070,0.5114,1.2070,Si
1.2080,0.5137,1.2080,Si
1.2090,0.5159,1.2090,Si
1.2100,0.5182,1.2100,Si
1.2110,0.5204,1.2110,Si
1.2120,0.5226,1.2120,Si
1.2130,0.5249,1.2130,Si
1.2140,0.5271,1.2140,Si
1.2150,0.5294,1.2150,Si
1.2160,0.5316,1.2160,Si
1.2170,0.5338,1.2170,Si
1.2180,0.5361,1.2180,Si
1.2190,0.5383,1.2190,Si
1.2200,0.5405,1.2200,Si
1.2210,0.5428,1.2210,Si
1.2220,0.5450,1.2220,Si
1.2230,0.5472,1.2230,Si
1.2240,0.5494,1.2240,Si
1.2250,0.5517,1.2250,Si
1.2260,0.5539,1.2260,Si
1.2270,0.5561,1.2270,Si
1.2280,0.5583,1.2280,Si
1.2290,0.5605,1.2290,Si
1.2300,0.5627,1.2300,Si
1.2310,0.5649,1.2310,Si
1.2320,0.5671,1.2320,Si
1.2330,0.5693,1.2330,Si
1.2340,0.5715,1.2340,Si
1.2350,0.5738,1.2350,Si
1.2360,0.5760,1.2360,Si
1.2370,0.5781,1.2370,Si
1.2380,0.5803,1.2380,Si
1.2390,0.5825,1.2390,Si
1.2400,0.5847,1.2400,Si
1.2410,0.5869,1.2410,Si
1.2420,0.5891,1.2420,Si
1.2430,0.5913,1.2430,Si
1.2440,0.5935,1.2440,Si
1.2450,0.5957,1.2450,Si
1.2460,0.5979,1.2460,Si
1.2470,0.6000,1.2470,Si
1.2480,0.6022,1.2480,Si
1.2490,0.6044,1.2490,Si
1.2500,0.6066,1.2500,Si
1.2510,0.6087,1.2510,Si
1.2520,0.6109,1.2520,Si
1.2530,0.6131,1.2530,Si
1.2540,0.6153,1.2540,Si
1.2550,0.6174,1.2550,Si
1.2560,0.6196,1.2560,Si
1.2570,0.6217,1.2570,Si
1.2580,0.6239,1.2580,Si
1.2590,0.6261,1.2590,Si
1.2600,0.6282,1.2600,Si
1.2610,0.6304,1.2610,Si
1.2620,0.6325,1.2620,Si
1.2630,0.6347,1.2630,Si
1.2640,0.6368,1.2640,Si
1.2650,0.6390,1.2650,Si
1.2660,0.6411,1.2660,Si
1.2670,0.6433,1.2670,Si
1.2680,0.6454,1.2680,Si
1.2690,0.6476,1.2690,Si
1.2700,0.6497,1.2700,Si
1.2710,0.6519,1.2710,Si
1.2720,0.6540,1.2720,Si
1.2730,0.6561,1.2730,Si
1.2740,0.6583,1.2740,Si
1.2750,0.6604,1.2750,Si
1.2760,0.6625,1.2760,Si
1.2770,0.6647,1.2770,Si
1.2780,0.6668,1.2780,Si
1.2790,0.6689,1.2790,Si
1.2800,0.6710,1.2800,Si
1.2810,0.6732,1.2810,Si
1.2820,0.6753,1.2820,Si
1.2830,0.6774,1.2830,Si
1.2840,0.6795,1.2840,Si
1.2850,0.6816,1.2850,Si
1.2860,0.6837,1.2860,Si
1.2870,0.6859,1.2870,Si
1.2880,0.6880,1.2880,Si
1.2890,0.6901,1.2890,Si
1.2900,0.6922,1.2900,Si
1.2910,0.6943,1.2910,Si
1.2920,0.6964,1.2920,Si
1.2930,0.6985,1.2930,Si
1.2940,0.7006,1.2940,Si
1.2950,0.7027,1.2950,Si
1.2960,0.7048,1.2960,Si
1.2970,0.7069,1.2970,Si
1.2980,0.7090,1.2980,Si
1.2990,0.7111,1.2990,Si
1.3000,0.7132,1.3000,Si
1.3010,0.7153,1.3010,Si
1.3020,0.7174,1.3020,Si
1.3030,0.7194,1.3030,Si
1.3040,0.7215,1.3040,Si
1.3050,0.7236,1.3050,Si
1.3060,0.7257,1.3060,Si
1.3070,0.7278,1.3070,Si
1.3080,0.7299,1.3080,Si
1.3090,0.7319,1.3090,Si
1.3100,0.7340,1.3100,Si
1.3110,0.7361,1.3110,Si
1.3120,0.7382,1.3120,Si
1.3130,0.7402,1.3130,Si
1.3140,0.7423,1.3140,Si
1.3150,0.7444,1.3150,Si
1.3160,0.7464,1.3160,Si
1.3170,0.7485,1.3170,Si
1.3180,0.7506,1.3180,Si
1.3190,0.7526,1.3190,Si
1.3200,0.7547,1.3200,Si
1.3210,0.7567,1.3210,Si
1.3220,0.7588,1.3220,Si
1.3230,0.7609,1.3230,Si
1.3240,0.7629,1.3240,Si
1.3250,0.7650,1.3250,Si
1.3260,0.7670,1.3260,Si
1.3270,0.7691,1.3270,Si
1.3280,0.7711,1.3280,Si
1.3290,0.7732,1.3290,Si
1.3300,0.7752,1.3300,Si
1.3310,0.7772,1.3310,Si
1.3320,0.7793,1.3320,Si
1.3330,0.7813,1.3330,Si
1.3340,0.7834,1.3340,Si
1.3350,0.7854,1.3350,Si
1.3360,0.7874,1.3360,Si
1.3370,0.7895,1.3370,Si
1.3380,0.7915,1.3380,Si
1.3390,0.7935,1.3390,Si
1.3400,0.7956,1.3400,Si
1.3410,0.7976,1.3410,Si
1.3420,0.7996,1.3420,Si
1.3430,0.8016,1.3430,Si
1.3440,0.8037,1.3440,Si
1.3450,0.8057,1.3450,Si
1.3460,0.8077,1.3460,Si
1.3470,0.8097,1.3470,Si
1.3480,0.8117,1.3480,Si
1.3490,0.8138,1.3490,Si
1.3500,0.8158,1.3500,Si
1.3510,0.8178,1.3510,Si
1.3520,0.8198,1.3520,Si
1.3530,0.8218,1.3530,Si
1.3540,0.8238,1.3540,Si
1.3550,0.8258,1.3550,Si
1.3560,0.8278,1.3560,Si
1.3570,0.8298,1.3570,Si
1.3580,0.8318,1.3580,Si
1.3590,0.8338,1.3590,Si
1.3600,0.8358,1.3600,Si
1.3610,0.8378,1.3610,Si
1.3620,0.8398,1.3620,Si
1.3630,0.8418,1.3630,Si
1.3640,0.8438,1.3640,Si
1.3650,0.8458,1.3650,Si
1.3660,0.8478,1.3660,Si
1.3670,0.8498,1.3670,Si
1.3680,0.8518,1.3680,Si
1.3690,0.8538,1.3690,Si
1.3700,0.8557,1.3700,Si
1.3710,0.8577,1.3710,Si
1.3720,0.8597,1.3720,Si
1.3730,0.8617,1.3730,Si
1.3740,0.8637,1.3740,Si
1.3750,0.8656,1.3750,Si
1.3760,0.8676,1.3760,Si
1.3770,0.8696,1.3770,Si
1.3780,0.8716,1.3780,Si
1.3790,0.8735,1.3790,Si
1.3800,0.8755,1.3800,Si
1.3810,0.8775,1.3810,Si
1.3820,0.8795,1.3820,Si
1.3830,0.8814,1.3830,Si
1.3840,0.8834,1.3840,Si
1.3850,0.8853,1.3850,Si
1.3860,0.8873,1.3860,Si
1.3870,0.8893,1.3870,Si
1.3880,0.8912,1.3880,Si
1.3890,0.8932,1.3890,Si
1.3900,0.8951,1.3900,Si
1.3910,0.8971,1.3910,Si
1.3920,0.8990,1.3920,Si
1.3930,0.9010,1.3930,Si
1.3940,0.9030,1.3940,Si
1.3950,0.9049,1.3950,Si
1.3960,0.9068,1.3960,Si
1.3970,0.9088,1.3970,Si
1.3980,0.9107,1.3980,Si
1.3990,0.9127,1.3990,Si
1.4000,0.9146,1.4000,Si
1.4010,0.9166,1.4010,Si
1.4020,0.9185,1.4020,Si
1.4030,0.9204,1.4030,Si
1.4040,0.9224,1.4040,Si
1.4050,0.9243,1.4050,Si
1.4060,0.9263,1.4060,Si
1.4070,0.9282,1.4070,Si
1.4080,0.9301,1.4080,Si
1.4090,0.9320,1.4090,Si
1.4100,0.9340,1.4100,Si
1.4110,0.9359,1.4110,Si
1.4120,0.9378,1.4120,Si
1.4130,0.9398,1.4130,Si
1.4140,0.9417,1.4140,Si
1.4150,0.9436,1.4150,Si
1.4160,0.9455,1.4160,Si
1.4170,0.9474,1.4170,Si
1.4180,0.9494,1.4180,Si
1.4190,0.9513,1.4190,Si
1.4200,0.9532,1.4200,Si
1.4210,0.9551,1.4210,Si
1.4220,0.9570,1.4220,Si
1.4230,0.9589,1.4230,Si
1.4240,0.9608,1.4240,Si
1.4250,0.9627,1.4250,Si
1.4260,0.9646,1.4260,Si
1.4270,0.9666,1.4270,Si
1.4280,0.9685,1.4280,Si
1.4290,0.9704,1.4290,Si
1.4300,0.9723,1.4300,Si
1.4310,0.9742,1.4310,Si
1.4320,0.9761,1.4320,Si
1.4330,0.9780,1.4330,Si
1.4340,0.9799,1.4340,Si
1.4350,0.9817,1.4350,Si
1.4360,0.9836,1.4360,Si
1.4370,0.9855,1.4370,Si
1.4380,0.9874,1.4380,Si
1.4390,0.9893,1.4390,Si
1.4400,0.9912,1.4400,Si
1.4410,0.9931,1.4410,Si
1.4420,0.9950,1.4420,Si
1.4430,0.9969,1.4430,Si
1.4440,0.9987,1.4440,Si
1.4450,1.0006,1.4450,Si
1.4460,1.0025,1.4460,Si
1.4470,1.0044,1.4470,Si
1.4480,1.0063,1.4480,Si
1.4490,1.0081,1.4490,Si
1.4500,1.0100,1.4500,Si
1.4510,1.0119,1.4510,Si
1.4520,1.0138,1.4520,Si
1.4530,1.0156,1.4530,Si
1.4540,1.0175,1.4540,Si
1.4550,1.0194,1.4550,Si
1.4560,1.0212,1.4560,Si
1.4570,1.0231,1.4570,Si
1.4580,1.0250,1.4580,Si
1.4590,1.0268,1.4590,Si
1.4600,1.0287,1.4600,Si
1.4610,1.0306,1.4610,Si
1.4620,1.0324,1.4620,Si
1.4630,1.0343,1.4630,Si
1.4640,1.0361,1.4640,Si
1.4650,1.0380,1.4650,Si
1.4660,1.0398,1.4660,Si
1.4670,1.0417,1.4670,Si
1.4680,1.0436,1.4680,Si
1.4690,1.0454,1.4690,Si
1.4700,1.0473,1.4700,Si
1.4710,1.0491,1.4710,Si
1.4720,1.0509,1.4720,Si
1.4730,1.0528,1.4730,Si
1.4740,1.0546,1.4740,Si
1.4750,1.0565,1.4750,Si
1.4760,1.0583,1.4760,Si
1.4770,1.0602,1.4770,Si
1.4780,1.0620,1.4780,Si
1.4790,1.0638,1.4790,Si
1.4800,1.0657,1.4800,Si
1.4810,1.0675,1.4810,Si
1.4820,1.0694,1.4820,Si
1.4830,1.0712,1.4830,Si
1.4840,1.0730,1.4840,Si
1.4850,1.0748,1.4850,Si
1.4860,1.0767,1.4860,Si
1.4870,1.0785,1.4870,Si
1.4880,1.0803,1.4880,Si
1.4890,1.0822,1.4890,Si
1.4900,1.0840,1.4900,Si
1.4910,1.0858,1.4910,Si
1.4920,1.0876,1.4920,Si
1.4930,1.0895,1.4930,Si
1.4940,1.0913,1.4940,Si
1.4950,1.0931,1.4950,Si
1.4960,1.0949,1.4960,Si
1.4970,1.0967,1.4970,Si
1.4980,1.0985,1.4980,Si
1.4990,1.1004,1.4990,Si
1.5000,1.1022,1.5000,Si
1.5010,1.1040,1.5010,Si
1.5020,1.1058,1.5020,Si
1.5030,1.1076,1.5030,Si
1.5040,1.1094,1.5040,Si
1.5050,1.1112,1.5050,Si
1.5060,1.1130,1.5060,Si
1.5070,1.1148,1.5070,Si
1.5080,1.1166,1.5080,Si
1.5090,1.1184,1.5090,Si
1.5100,1.1202,1.5100,Si
1.5110,1.1220,1.5110,Si
1.5120,1.1238,1.5120,Si
1.5130,1.1256,1.5130,Si
1.5140,1.1274,1.5140,Si
1.5150,1.1292,1.5150,Si
1.5160,1.1310,1.5160,Si
1.5170,1.1328,1.5170,Si
1.5180,1.1346,1.5180,Si
1.5190,1.1364,1.5190,Si
1.5200,1.1382,1.5200,Si
1.5210,1.1400,1.5210,Si
1.5220,1.1417,1.5220,Si
1.5230,1.1435,1.5230,Si
1.5240,1.1453,1.5240,Si
1.5250,1.1471,1.5250,Si
1.5260,1.1489,1.5260,Si
1.5270,1.1507,1.5270,Si
1.5280,1.1524,1.5280,Si
1.5290,1.1542,1.5290,Si
1.5300,1.1560,1.5300,Si
1.5310,1.1578,1.5310,Si
1.5320,1.1595,1.5320,Si
1.5330,1.1613,1.5330,Si
1.5340,1.1631,1.5340,Si
1.5350,1.1649,1.5350,Si
1.5360,1.1666,1.5360,Si
1.5370,1.1684,1.5370,Si
1.5380,1.1702,1.5380,Si
1.5390,1.1719,1.5390,Si
1.5400,1.1737,1.5400,Si
1.5410,1.1755,1.5410,Si
1.5420,1.1772,1.5420,Si
1.5430,1.1790,1.5430,Si
1.5440,1.1808,1.5440,Si
1.5450,1.1825,1.5450,Si
1.5460,1.1843,1.5460,Si
1.5470,1.1860,1.5470,Si
1.5480,1.1878,1.5480,Si
1.5490,1.1895,1.5490,Si
1.5500,1.1913,1.5500,Si
1.5510,1.1931,1.5510,Si
1.5520,1.1948,1.5520,Si
1.5530,1.1966,1.5530,Si
1.5540,1.1983,1.5540,Si
1.5550,1.2001,1.5550,Si
1.5560,1.2018,1.5560,Si
1.5570,1.2035,1.5570,Si
1.5580,1.2053,1.5580,Si
1.5590,1.2070,1.5590,Si
1.5600,1.2088,1.5600,Si
1.5610,1.2105,1.5610,Si
1.5620,1.2123,1.5620,Si
1.5630,1.2140,1.5630,Si
1.5640,1.2157,1.5640,Si
1.5650,1.2175,1.5650,Si
1.5660,1.2192,1.5660,Si
1.5670,1.2210,1.5670,Si
1.5680,1.2227,1.5680,Si
1.5690,1.2244,1.5690,Si
1.5700,1.2262,1.5700,Si
1.5710,1.2279,1.5710,Si
1.5720,1.2296,1.5720,Si
1.5730,1.2313,1.5730,Si
1.5740,1.2331,1.5740,Si
1.5750,1.2348,1.5750,Si
1.5760,1.2365,1.5760,Si
1.5770,1.2382,1.5770,Si
1.5780,1.2400,1.5780,Si
1.5790,1.2417,1.5790,Si
1.5800,1.2434,1.5800,Si
1.5810,1.2451,1.5810,Si
1.5820,1.2468,1.5820,Si
1.5830,1.2486,1.5830,Si
1.5840,1.2503,1.5840,Si
1.5850,1.2520,1.5850,Si
1.5860,1.2537,1.5860,Si
1.5870,1.2554,1.5870,Si
1.5880,1.2571,1.5880,Si
1.5890,1.2588,1.5890,Si
1.5900,1.2606,1.5900,Si
1.5910,1.2623,1.5910,Si
1.5920,1.2640,1.5920,Si
1.5930,1.2657,1.5930,Si
1.5940,1.2674,1.5940,Si
1.5950,1.2691,1.5950,Si
1.5960,1.2708,1.5960,Si
1.5970,1.2725,1.5970,Si
1.5980,1.2742,1.5980,Si
1.5990,1.2759,1.5990,Si
1.6000,1.2776,1.6000,Si
1.6010,1.2793,1.6010,Si
1.6020,1.2810,1.6020,Si
1.6030,1.2827,1.6030,Si
1.6040,1.2844,1.6040,Si
1.6050,1.2861,1.6050,Si
1.6060,1.2878,1.6060,Si
1.6070,1.2895,1.6070,Si
1.6080,1.2912,1.6080,Si
1.6090,1.2928,1.6090,Si
1.6100,1.2945,1.6100,Si
1.6110,1.2962,1.6110,Si
1.6120,1.2979,1.6120,Si
1.6130,1.2996,1.6130,Si
1.6140,1.3013,1.6140,Si
1.6150,1.3030,1.6150,Si
1.6160,1.3047,1.6160,Si
1.6170,1.3063,1.6170,Si
1.6180,1.3080,1.6180,Si
1.6190,1.3097,1.6190,Si
1.6200,1.3114,1.6200,Si
1.6210,1.3130,1.6210,Si
1.6220,1.3147,1.6220,Si
1.6230,1.3164,1.6230,Si
1.6240,1.3181,1.6240,Si
1.6250,1.3197,1.6250,Si
1.6260,1.3214,1.6260,Si
1.6270,1.3231,1.6270,Si
1.6280,1.3248,1.6280,Si
1.6290,1.3264,1.6290,Si
1.6300,1.3281,1.6300,Si
1.6310,1.3298,1.6310,Si
1.6320,1.3314,1.6320,Si
1.6330,1.3331,1.6330,Si
1.6340,1.3348,1.6340,Si
1.6350,1.3364,1.6350,Si
1.6360,1.3381,1.6360,Si
1.6370,1.3397,1.6370,Si
1.6380,1.3414,1.6380,Si
1.6390,1.3431,1.6390,Si
1.6400,1.3447,1.6400,Si
1.6410,1.3464,1.6410,Si
1.6420,1.3480,1.6420,Si
1.6430,1.3497,1.6430,Si
1.6440,1.3513,1.6440,Si
1.6450,1.3530,1.6450,Si
1.6460,1.3547,1.6460,Si
1.6470,1.3563,1.6470,Si
1.6480,1.3580,1.6480,Si
1.6490,1.3596,1.6490,Si
1.6500,1.3612,1.6500,Si
1.6510,1.3629,1.6510,Si
1.6520,1.3645,1.6520,Si
1.6530,1.3662,1.6530,Si
1.6540,1.3678,1.6540,Si
1.6550,1.3695,1.6550,Si
1.6560,1.3711,1.6560,Si
1.6570,1.3728,1.6570,Si
1.6580,1.3744,1.6580,Si
1.6590,1.3760,1.6590,Si
1.6600,1.3777,1.6600,Si
1.6610,1.3793,1.6610,Si
1.6620,1.3809,1.6620,Si
1.6630,1.3826,1.6630,Si
1.6640,1.3842,1.6640,Si
1.6650,1.3858,1.6650,Si
1.6660,1.3875,1.6660,Si
1.6670,1.3891,1.6670,Si
1.6680,1.3907,1.6680,Si
1.6690,1.3924,1.6690,Si
1.6700,1.3940,1.6700,Si
1.6710,1.3956,1.6710,Si
1.6720,1.3973,1.6720,Si
1.6730,1.3989,1.6730,Si
1.6740,1.4005,1.6740,Si
1.6750,1.4021,1.6750,Si
1.6760,1.4037,1.6760,Si
1.6770,1.4054,1.6770,Si
1.6780,1.4070,1.6780,Si
1.6790,1.4086,1.6790,Si
1.6800,1.4102,1.6800,Si
1.6810,1.4118,1.6810,Si
1.6820,1.4135,1.6820,Si
1.6830,1.4151,1.6830,Si
1.6840,1.4167,1.6840,Si
1.6850,1.4183,1.6850,Si
1.6860,1.4199,1.6860,Si
1.6870,1.4215,1.6870,Si
1.6880,1.4231,1.6880,Si
1.6890,1.4248,1.6890,Si
1.6900,1.4264,1.6900,Si
1.6910,1.4280,1.6910,Si
1.6920,1.4296,1.6920,Si
1.6930,1.4312,1.6930,Si
1.6940,1.4328,1.6940,Si
1.6950,1.4344,1.6950,Si
1.6960,1.4360,1.6960,Si
1.6970,1.4376,1.6970,Si
1.6980,1.4392,1.6980,Si
1.6990,1.4408,1.6990,Si
1.7000,1.4424,1.7000,Si
1.7010,1.4440,1.7010,Si
1.7020,1.4456,1.7020,Si
1.7030,1.4472,1.7030,Si
1.7040,1.4488,1.7040,Si
1.7050,1.4504,1.7050,Si
1.7060,1.4520,1.7060,Si
1.7070,1.4536,1.7070,Si
1.7080,1.4552,1.7080,Si
1.7090,1.4568,1.7090,Si
1.7100,1.4583,1.7100,Si
1.7110,1.4599,1.7110,Si
1.7120,1.4615,1.7120,Si
1.7130,1.4631,1.7130,Si
1.7140,1.4647,1.7140,Si
1.7150,1.4663,1.7150,Si
1.7160,1.4679,1.7160,Si
1.7170,1.4694,1.7170,Si
1.7180,1.4710,1.7180,Si
1.7190,1.4726,1.7190,Si
1.7200,1.4742,1.7200,Si
1.7210,1.4758,1.7210,Si
1.7220,1.4773,1.7220,Si
1.7230,1.4789,1.7230,Si
1.7240,1.4805,1.7240,Si
1.7250,1.4821,1.7250,Si
1.7260,1.4837,1.7260,Si
1.7270,1.4852,1.7270,Si
1.7280,1.4868,1.7280,Si
1.7290,1.4884,1.7290,Si
1.7300,1.4899,1.7300,Si
1.7310,1.4915,1.7310,Si
1.7320,1.4931,1.7320,Si
1.7330,1.4947,1.7330,Si
1.7340,1.4962,1.7340,Si
1.7350,1.4978,1.7350,Si
1.7360,1.4994,1.7360,Si
1.7370,1.5009,1.7370,Si
1.7380,1.5025,1.7380,Si
1.7390,1.5041,1.7390,Si
1.7400,1.5056,1.7400,Si
1.7410,1.5072,1.7410,Si
1.7420,1.5087,1.7420,Si
1.7430,1.5103,1.7430,Si
1.7440,1.5119,1.7440,Si
1.7450,1.5134,1.7450,Si
1.7460,1.5150,1.7460,Si
1.7470,1.5165,1.7470,Si
1.7480,1.5181,1.7480,Si
1.7490,1.5196,1.7490,Si
1.7500,1.5212,1.7500,Si
1.7510,1.5227,1.7510,Si
1.7520,1.5243,1.7520,Si
1.7530,1.5258,1.7530,Si
1.7540,1.5274,1.7540,Si
1.7550,1.5289,1.7550,Si
1.7560,1.5305,1.7560,Si
1.7570,1.5320,1.7570,Si
1.7580,1.5336,1.7580,Si
1.7590,1.5351,1.7590,Si
1.7600,1.5367,1.7600,Si
1.7610,1.5382,1.7610,Si
1.7620,1.5398,1.7620,Si
1.7630,1.5413,1.7630,Si
1.7640,1.5429,1.7640,Si
1.7650,1.5444,1.7650,Si
1.7660,1.5459,1.7660,Si
1.7670,1.5475,1.7670,Si
1.7680,1.5490,1.7680,Si
1.7690,1.5505,1.7690,Si
1.7700,1.5521,1.7700,Si
1.7710,1.5536,1.7710,Si
1.7720,1.5552,1.7720,Si
1.7730,1.5567,1.7730,Si
1.7740,1.5582,1.7740,Si
